MODEL,VEHICLECLASS,ENGINESIZE,CYLINDERS,FUELCONSUMPTION_CITY,FUELCONSUMPTION_HWY,FUELCONSUMPTION_COMB,FUELCONSUMPTION_COMB_MPG,CO2EMISSIONS
FUSION,MID-SIZE,1.5,4,10.1,6.6,8.5,33,196
FUSION,MID-SIZE,1.6,4,9.4,6.4,8.1,35,186
FUSION,MID-SIZE,2,4,10.5,7.1,9,31,207
FUSION,MID-SIZE,2.5,4,10.5,7,8.9,32,205
FIT,STATION WAGON - SMALL,1.5,4,8.3,6.5,7.5,38,172
FIT,STATION WAGON - SMALL,1.5,4,8.3,6.9,7.7,37,177
GS 350,MID-SIZE,3.5,6,12.1,8.3,10.4,27,239
MAZDA5,MINIVAN,2.5,4,10.8,8.4,9.7,29,223
MAZDA5,MINIVAN,2.5,4,11.1,8.3,9.8,29,225
C 250,COMPACT,1.8,4,10.9,7.5,9.4,30,216
BOXSTER,TWO-SEATER,2.7,6,10.7,7.4,9.2,31,212
BOXSTER,TWO-SEATER,2.7,6,11.5,7.9,9.9,29,228
PHANTOM,FULL-SIZE,6.7,12,20.7,12.8,17.1,17,393
BRZ,MINICOMPACT,2,4,9.6,7.1,8.5,33,196
BRZ,MINICOMPACT,2,4,11,7.9,9.6,29,221
